taxon_name,taxon_id,taxon_rank,observations_count
Oenothera affinis,165785,species,342
Eryngium elegans,544212,species,256
Daucus pusillus,56726,species,4402
Ginkgo biloba,64350,species,25678
Neltuma affinis,1493103,species,192
Aspidosperma quebracho-blanco,424095,species,554
Apis mellifera,47219,species,376202
Arctiinae,47606,subfamily,1026182
Pterostichini,202057,tribe,34310
Camponotus,62781,genus,182797
Scaritini,423149,tribe,18738
Euryops chrysanthemoides,162895,species,1801
Dianthus,60001,genus,104398
Magnoliopsida,47124,class,59275981
Haworthiopsis,576771,genus,5185
Coleoptera,47208,order,5975345
Toxomerus,58753,genus,82138
Camponotus mus,416827,species,1612
Ipomoea indica,77496,species,14084
Erythrolamprus poecilogyrus,539693,species,1006
Argyranthemum frutescens,181635,species,3440
Rhipicephalus,172349,genus,2415
Lobelia erinus,77797,species,6265
Polygala myrtifolia,181610,species,7407
Passiflora caerulea,51454,species,12574
Eurata hilaris,1148830,species,108
Senecio selloi,790303,species,286
Clytrini,418621,tribe,26816
Senecio crassiflorus,380978,species,356
Aglaonema commutatum,158118,species,1210
Verbena montevidensis,170151,species,141
Lepidoptera,47157,order,18557913
Hypoxis decumbens,283656,species,704
Eristalis tenax,55719,species,52220
Pyracantha,54052,genus,22294
Asthenoctenus borellii,372151,species,461
Euophryini,712073,tribe,70516
Orphulella,119622,genus,6809
Senecio angulatus,363595,species,2321
Porcellio laevis,296087,species,3376
Arachosia praesignis,549594,species,448
Euborellia annulipes,196419,species,8412
Rumohra adiantiformis,168255,species,1977
Tragia geraniifolia,790338,species,35
Hordeum,52797,genus,50956
Calligrapha polyspila,489736,species,597
Plantago tomentosa,962891,species,179
Briza maxima,57157,species,13746
Passer domesticus,13858,species,273591
Ricinus communis,56739,species,40771
Solanum laxum,128667,species,2663
Edessa meditabunda,481877,species,1180
Eriopis connexa,418185,species,3376
Metaltella,172541,genus,4822
Gymnetis chalcipes,713893,species,310
Ulmus minor,79461,species,12321
Populus alba,47570,species,20419
Manihot grahamii,165140,species,656
Musa × paradisiaca,170883,hybrid,7580
Solanum americanum,59035,species,12393
Zantedeschia aethiopica,56006,species,20720
Coccidae,49456,family,13816
Plantago major,58961,species,68611
Myiophobus fasciatus,16862,species,1311
Furnarius rufus,11275,species,11816
Tetrapanax papyrifer,372170,species,2623
Abutilon,53864,genus,29087
Phimosus infuscatus,3736,species,6322
Panicum racemosum,332785,species,98
Lupinus multiflorus,847990,species,87
Cakile maritima,60982,species,21997
Asclepias × aequicornu,896692,hybrid,39
Gomphrena perennis,1077201,species,95
Margyricarpus pinnatus,410703,species,726
Eleocharis,57022,genus,27477
Echium plantagineum,76764,species,14394
Elateridae,53248,family,180211
Melilotus indicus,57065,species,13124
Didelphis albiventris,42658,species,1896
Actinote,134174,genus,7238
Juncus,52643,genus,129153
Arctiini,82089,tribe,789647
Nicotiana longiflora,165704,species,734
Phaedon,178407,genus,2081
Verbena,53317,genus,130559
Nysius,176621,genus,8647
Lantana camara,50333,species,56183
Zenaida auriculata,3439,species,20696
Strelitzia reginae,49143,species,10191
Carya illinoinensis,67593,species,17733
Medicago sativa,57057,species,35007
Harmonia axyridis,48484,species,267948
Cornu aspersum,480298,species,70761
Steatoda grossa,61997,species,16775
Oecobius navus,226250,species,4401
Bulimulus bonariensis,831286,species,2173
Parkinsonia,62834,genus,34826
Lotus subbiflorus,129169,species,1037
Maytenus ilicifolia,431288,species,296
Helicellinae,861158,subfamily,14322
Ambrosia,53036,genus,124655
Plantae,47126,kingdom,77396241
Breda,328081,genus,729
Cyperus reflexus,161481,species,78
Brachymyrmex,68941,genus,7168
Lippia alba,223926,species,1800
Sisyrinchium platense,424124,species,191
Agaricus,49548,genus,105442
Mimosa,47450,genus,63947
Glandularia selloi,781611,species,212
Sciapodinae,321397,subfamily,71262
Coccinellini,333796,tribe,735797
Anthophila,630955,epifamily,2435438
Formicidae,47336,family,953714
Rhea americana,20512,species,2368
Musca domestica,120156,species,20046
Heteroptera,61267,suborder,2451010
Heliotropium amplexicaule,77363,species,2198
Mecardonia,132747,genus,4931
Eudiagogus episcopalis,782158,species,208
Dietes,125854,genus,21976
Scytodes globula,424379,species,951
Rhinella arenarum,67093,species,1942
Paraphimophis rusticus,539045,species,123
Dynastinae,136361,subfamily,110273
Agaricaceae,47394,family,287293
Lampyrinae,460312,subfamily,89805
Aphididae,52381,family,196775
Dasypus septemcinctus,1275370,species,327
Nyctibius griseus,19667,species,2280
Herbertia lahue,163683,species,4778
Trifolium subterraneum,60201,species,3268
Hypochaeris albiflora,202635,species,925
Dichondra,61178,genus,19630
Calydorea,141047,genus,459
Coleus,1069166,genus,42712
Evolvulus sericeus,122576,species,2680
Baccharis trimera,450291,species,836
Adesmia,138506,genus,4170
Nothoscordum,61775,genus,22818
Senecio bonariensis,424094,species,395
Chascolytrum subaristatum,279660,species,295
Verbascum virgatum,64130,species,6364
Life,48460,stateofmatter,181083012
Stipa,72378,genus,11722
Bromus,52701,genus,110445
Senecio,53207,genus,184658
Scinax granulatus,24363,species,440
Melica,52803,genus,17011
Solanum sisymbriifolium,79143,species,3730
Anemone decapetala,489105,species,232
Polygala,61208,genus,77305
Sisyrinchium,49917,genus,87306
Aristida murina,1147116,species,22
Eryngium,57628,genus,72010
Nierembergia calycina,790125,species,51
Gyptis,1041232,genus,155
Poeae,552962,tribe,540283
Baccharis dracunculifolia,563934,species,618
Salvator merianae,318758,species,5980
Nassella charruana,985295,species,13
Amphisbaena darwinii,539252,species,312
Nassella neesiana,165658,species,586
Lolium arundinaceum,164708,species,7299
Scarites,82720,genus,11092
Micropsis,575776,genus,29
Chascolytrum brizoides,1143486,species,4
Briza minor,57162,species,4451
Danthonia,57166,genus,8305
Piptochaetium,118429,genus,1257
Psathyrellaceae,56310,family,312299
Poaceae,47434,family,2267184
Bromus hordeaceus,52703,species,10644
Hemileucini,475374,tribe,74978
Myiodynastes maculatus,16063,species,4529
Stelgidopteryx ruficollis,11972,species,2823
Elaenia parvirostris,16733,species,1162
Pyrocephalus rubinus,16447,species,53390
Progne chalybea,11872,species,5606
Xolmis irupero,16134,species,1869
Agelaioides badius,516244,species,4024
Tachycineta leucorrhoa,11936,species,1578
Colaptes campestris campestroides,512716,subspecies,786
Drymornis bridgesii,11831,species,830
Patagioenas maculosa,3105,species,3189
Tyrannus savana,16793,species,7148
Paroaria coronata,10254,species,9979
Chlorostilbon lucidus,6085,species,3937
Poospiza nigrorufa,890970,species,1102
Salix,53453,genus,327801
Feijoa sellowiana,1341071,species,4341
Sporophila hypoxantha,9488,species,208
Mythimna,121184,genus,53401
Cathartes,4755,genus,149949
Schizocosa malitiosa,462216,species,187
Pteris vittata,57636,species,7360
Regnellidium diphyllum,446838,species,11
Drymaria cordata,48556,species,4472
Latrodectus geometricus,47383,species,16803
Aechmea recurvata,564178,species,303
Oldenlandia salzmannii,133307,species,111
Clinopodium brownei,132127,species,1137
Asclepias,47906,genus,368961
Dietes iridioides,129407,species,2796
Lotus,47436,genus,124432
Porophyllum linifolium,1031730,species,44
Asclepias mellodora,209781,species,400
Trichocline incana,991912,species,50
Eryngium sanguisorba,1031115,species,97
Acmella decumbens,157974,species,191
Petunia axillaris,55405,species,719
Calystegia soldanella,60880,species,6438
Zonotrichia capensis,9183,species,22929
Sicalis flaveola,9864,species,22798
Troglodytes aedon,7562,species,46612
Progne tapera,11870,species,3286
Danaus erippus,126299,species,5065
Chroicocephalus maculipennis,144504,species,3817
Oenothera mollissima,165806,species,218
Amazonetta brasiliensis,7182,species,3264
Herbertia quareimana,1271927,species,13
Aloysia gratissima,56891,species,4094
Chloraea membranacea,372267,species,469
Citharexylum montevidense,430833,species,230
Celtis tala,279210,species,1421
Brunfelsia australis,430749,species,285
Myrteae,921783,tribe,69001
Duranta erecta,162153,species,20721
Morus nigra,126741,species,5147
Cichorieae,359450,tribe,1370423
Nomophila,58751,genus,19932
Angiospermae,47125,subphylum,70659463
Vanessa carye,330438,species,5471
Inga uraguensis,870914,species,223
Hydrochoerus hydrochaeris,74442,species,7152
Eugenia myrcianthes,357300,species,214
Fungi,47170,kingdom,10708843
Hymenachne grumosa,1163010,species,8
Paspalum modestum,1068132,species,3
Xylocopa augusti,415420,species,1222
Anser anser domesticus,120479,variety,12418
Eucalyptus grandis,135371,species,731
Robinia pseudoacacia,56088,species,67093
Salvia procurrens,782268,species,159
Berberis laurina,1008107,species,104
Pavonia,52356,genus,9493
Aristida,63993,genus,13384
Echinodorus,72108,genus,2958
Typha,48686,genus,102924
Cynara cardunculus,57563,species,10525
Limnomedusa macroglossa,23244,species,67
Motacilla alba,13695,species,82617
Pittosporum tobira,78592,species,12283
Molothrus bonariensis,10371,species,11940
Tracheophyta,211194,phylum,74903148
Araucaria,53718,genus,32510
Calliandra tweediei,1132038,species,385
Ardea alba,144455,species,212107
Morus,56091,genus,102457
Aves,3,class,24734250
Tecoma stans,48363,species,22359
Vanessa braziliensis,62502,species,3786
Senecio madagascariensis,168820,species,2601
Cycloneda sanguinea,124431,species,17467
Trifolium repens,55745,species,138920
Calliandra,47442,genus,22269
Turdus rufiventris,12738,species,7981
Aesculus hippocastanum,84298,species,36006
Opuntia,47902,genus,280684
Lobizon,420051,genus,42
Agaricus campestris,143563,species,12911
Acromyrmex,50162,genus,6106
Bryophyta,311249,phylum,1074747
Gallinula galeata,144479,species,40024
Sagittaria montevidensis,1506725,species,921
Anas flavirostris,6947,species,5059
Ficus,50999,genus,182622
Eustala,135256,genus,8138
Anas platyrhynchos domesticus,236935,variety,54665
Araneus lathyrinus,426051,species,292
Platalea ajaja,62529,species,21785
Megafreya sutrix,623041,species,1957
Romaleinae,320677,subfamily,55122
Eryngium horridum,557627,species,564
Calvatia,57693,genus,34388
Sambucus australis,544478,species,294
Ceratodon,123116,genus,11043
Jodina rhombifolia,371182,species,747
Acicarpha tribuloides,157966,species,216
Smilax campestris,865293,species,346
Oenothera,48626,genus,279180
Cicadellidae,53237,family,408973
Echinodorus longiscapus,356227,species,29
Arundo donax,64017,species,19737
Ardea cocoi,4952,species,7081
Trixis praestans,481153,species,289
Parodia scopa,441727,species,120
Parodia erinaceus,1446701,species,453
Polystictus pectoralis,17119,species,248
Micropsis spathulata,1064314,species,10
Xanthium strumarium,57920,species,28628
Tetragnatha,47550,genus,61216
Chaptalia,121997,genus,3807
Agaricomycetes,50814,class,7305370
Hypochaeris radicata,53104,species,38313
Poa annua,52808,species,21615
Morus alba,56090,species,38289
Thalia,127913,genus,5114
Tretogonia,785391,genus,123
Phiale roburifoliata,416823,species,812
Lucilia,61858,genus,78480
Paromoeocerus barbicornis,481691,species,431
Tetragnathidae,47551,family,166319
Ligustrum lucidum,77740,species,19694
Hedera helix,55882,species,99830
Epilamprinae,543252,subfamily,9974
Conoderus germari,605385,species,156
Braconidae,63187,family,65302
Physalaemus gracilis,23124,species,121
Scarabaeidae,48201,family,754652
Araneus uniformis,537541,species,197
Epilachna paenulata,776912,species,238
Acanthopachylus aculeatus,52908,species,39
Dysdera crocata,68912,species,14400
Leptotila verreauxi,3280,species,6938
Kukulcania hibernalis,122357,species,5896
Elaenia sordida,979710,species,106
Pachyramphus viridis,8711,species,254
Myiarchus swainsoni,16029,species,653
Populus fremontii,52120,species,15026
Populus,47566,genus,234435
Allophylus guaraniticus,536273,species,12
Clematis,49877,genus,161740
Gryllinae,122461,subfamily,83806
Melilotus,57067,genus,110256
Avena fatua,52698,species,7792
Aphanilopterus,789380,subgenus,40246
Borago officinalis,52287,species,17552
Bromus catharticus,60276,species,8548
Canna indica,146643,species,11797
Carduus acanthoides,76006,species,12118
Acanthostyles buniifolius,803124,species,256
Convolvulus arvensis,53021,species,67938
Helminthotheca echioides,61906,species,20093
Gamochaeta,60958,genus,18549
Phalaris canariensis,57191,species,605
Colias lesbia,424213,species,1597
Dione vanillae,49150,species,98252
Cynodon dactylon,58371,species,15498
Lolium multiflorum,68479,species,3186
Astylus quadrilineatus,491364,species,1004
Lygophis anomalus,104905,species,306
Soliva macrocephala,1042552,species,2
Oxysarcodexia,329941,genus,848
Radlkoferotoma cistifolia,1424045,species,2
Podostemum comatum,1275881,species,5
Anchietea pyrifolia,785987,species,29
Cupania vernalis,900681,species,240
Cuphea racemosa,285357,species,545
Cyanallagma bonariense,98813,species,56
Oxalis,47758,genus,335416
Trachemys dorbigni,39797,species,1182
Modiola caroliniana,78087,species,7776
Herbertia,157664,genus,4995
Halictinae,134106,subfamily,313968
Picumnus nebulosus,17759,species,102
Myiarchus,15985,genus,50202
Polybia scutellaris,415335,species,1262
Aedes aegypti,155453,species,4881
Saltator similis,9861,species,942
Pygodasis bistrimaculata,915280,species,107
Synallaxis frontalis,10996,species,744
Coleostephus myconis,341977,species,1692
Bignonia callistegioides,543859,species,387
Baccharis aliena,925179,species,187
Eugenia uniflora,83642,species,4621
Colaptes melanochloros,18250,species,5764
Stilpnia preciosa,979964,species,329
Phacellodomus striaticollis,11617,species,559
Theristicus caerulescens,3768,species,749
Tapera naevia,1989,species,907
Schinus lentiscifolia,1117846,species,56
Cyanoloxia glaucocaerulea,10690,species,220
Solanum,50641,genus,414222
Pseudoleistes virescens,10708,species,1139
Limnoctites rectirostris,72986,species,64
Thraupis sayaca,10293,species,5542
Dilophus pectoralis,570657,species,491
Cladanthus mixtus,82647,species,343
Rosa rubiginosa,78886,species,5624
Sarconesia chlorogaster,889435,species,283
Aspilia montevidensis,881522,species,413
Drosera brevifolia,162093,species,2609
Anas georgica,6988,species,3801
Anas bahamensis,6951,species,3537
Fregata magnificens,4631,species,20665
Spartonoica maluroides,11810,species,166
Nycticryphes semicollaris,144499,species,153
Sicalis luteola,9869,species,2863
Clemira,982802,genus,50
Miogryllus,129142,genus,570
Paracles deserticola,549413,species,270
Lauxaniidae,118991,family,37037
Diplazon,84694,genus,3537
Thaumasia velox,298402,species,228
Entelegynae,342614,infraorder,3845272
Lysimachia arvensis,791928,species,48810
Photinus signaticollis,1238721,species,217
Steatoda triangulosa,81579,species,17882
Lithobiomorpha,122235,order,36263
Birabenia,420022,genus,121
Birabenia vittata,810304,species,5
Geometridae,49530,family,2041164
Teloschistes chrysophthalmus,55553,species,7705
Ramalina,48325,genus,47315
Lycosinae,1235357,subfamily,134349
Janthinosoma,1096301,subgenus,2486
Leistes superciliaris,793309,species,1613
Saltator aurantiirostris,9847,species,2672
Chloroceryle americana,2669,species,9386
Rothschildia,83223,genus,7162
Guadua chacoensis,937129,species,61
Cyanocorax chrysops,8484,species,2225
Ortilia ithra,370815,species,2890
Myrtaceae,51816,family,385206
Ficus luschnathiana,543681,species,372
Stephanophorus diadematus,10706,species,683
Daptrius chimachima,1432779,species,9364
Lepidocolaptes angustirostris,11589,species,2505
Mimosa uraguensis,1066641,species,26
Plegadis chihi,3759,species,21670
Parodia mammulosa,441705,species,212
Pyrrhopyge charybdis,479915,species,213
Procyon cancrivorus,41667,species,1387
Stenachaenium megapotamicum,634061,species,13
Crassula multicava,76464,species,3312
Cypella unguiculata,1071299,species,37
Cypella exilis,1352619,species,11
Hydrocotyle exigua,1074983,species,7
Hypochaeris grisebachii,1263936,species,2
Bothrops pubescens,539421,species,112
Eryngium regnellii,1040070,species,21
Grazielia brevipetiolata,1094889,species,31
Zephyranthes tubispatha,1264667,species,2094
Adesmia punctata,790345,species,17
Misumenops,49880,genus,3438
Actinote pellenea,518677,species,1269
Eacles imperialis,81590,species,21280
Spartium junceum,47406,species,15006
Lycosa erythrognatha,83111,species,2614
Anyphaenidae,83722,family,28603
Bellardia trixago,51286,species,6655
Plantago,50636,genus,284989
Lotus corniculatus,47435,species,83364
Glandularia peruviana,163317,species,1071
Verbena litoralis,64179,species,1847
Ilex paraguariensis,193722,species,200
Cupressaceae,47374,family,556681
Scutia buxifolia,371186,species,581
Armadillidium vulgare,56083,species,69592
Syrphinae,186841,subfamily,381092
Blaberoidea,81770,superfamily,112068
Mischocyttarus drewseni,633046,species,285
Pavonia glechomoides,1051002,species,78
Lathyrus odoratus,77641,species,1305
Varronia curassavica,283226,species,969
Augochlorini,203037,tribe,54420
Lupinus linearis,1294803,species,6
Aechmea distichantha,410902,species,1029
Mimus saturninus,14878,species,9774
Megalopyge urens,889625,species,120
Aphirape,420250,genus,813
Ceroplastes,84463,genus,5302
Opuntia ficus-indica,64119,species,19740
Lactuca serriola,53107,species,41807
Erigoninae,495875,subfamily,11440
Centaurea calcitrapa,56865,species,2940
Cypella herbertii,479047,species,417
Epilampra,252956,genus,1440
Microgramma,137311,genus,2804
Peltophorum dubium,290016,species,521
Allophylus edulis,460752,species,539
Syagrus romanzoffiana,79291,species,6033
Tillandsia recurvata,84002,species,20575
Euphorbia milii,162839,species,22092
Heliconisa pagenstecheri,765068,species,90
Rauenia bonariensis,1289360,species,2889
Sarcophaginae,358525,subfamily,40652
Agalenocosa,202973,genus,64
Anthomyiidae,49996,family,37077
Cathartes aura,4756,species,146001
Basileuterus culicivorus,10023,species,2472
Tradescantia fluminensis,79382,species,10544
Polypodiidae,764796,subclass,1655827
Egretta thula,4940,species,98072
Nymphoides humboldtiana,807297,species,564
Aspilia,142100,genus,1279
Hylocharis chrysura,5979,species,1843
Solanum commersonii,1073562,species,115
Palpada,55265,genus,14953
Protandrenini,570577,tribe,1653
Scutellaria racemosa,143701,species,1136
Burnsius,1038402,genus,52103
Lupinus bracteolaris,790511,species,110
Trifolium polymorphum,63198,species,78
Azara uruguayensis,809121,species,44
Doryopteris lorentzii,1184308,species,14
Adiantum raddianum,158023,species,1568
Asplenium,71992,genus,135981
Turnera sidoides,481156,species,364
Euptoieta hortensia,462118,species,1158
Machetornis rixosa,17289,species,6760
Colaptes campestris,18262,species,4056
Quercus suber,50868,species,9057
Tillandsia aeranthos,370737,species,1298
Ulex europaeus,51751,species,20408
Baccharis articulata,528837,species,397
Hordeum murinum,52796,species,20184
Solanum amygdalifolium,859285,species,275
Ischnura fluviatilis,103487,species,1552
Agalinis communis,830545,species,213
Tweedia brunonis,778609,species,29
Cotinus coggygria,133366,species,12082
Pfaffia gnaphalioides,1023123,species,145
Icterus pyrrhopterus,72954,species,2194
Eryngium pandanifolium,326751,species,391
Turdus amaurochalinus,12710,species,4071
Penelope obscura,2060,species,2311
Melia azedarach,53720,species,26063
Camptostoma obsoletum,16972,species,2264
Dolichandra unguis-cati,584095,species,4038
Jacana jacana,4580,species,6785
Nezara viridula,141725,species,27516
Coptopteryx argentina,634616,species,450
Coleoxestia,252005,genus,154
Hogna bivittata,790533,species,123
Veronica spicata,132118,species,6573
Herbertia pulchella,926070,species,101
Euphorbia papillosa,1067759,species,22
Magnolia grandiflora,83074,species,38005
Chydarteres striatus,623460,species,399
Callinectes sapidus,49504,species,12111
Dasypus novemcinctus,47075,species,24465
Alpaida costai,816960,species,41
Jaborosa integrifolia,164208,species,409
Senecio brasiliensis,786063,species,283
Ennominae,123033,subfamily,976520
Agelasticus thilius,72472,species,2271
Calidris subruficollis,339596,species,1679
Calidris himantopus,3850,species,5028
Phalaropus tricolor,144497,species,8779
Cypella osteniana,1081740,species,11
Tolmomyias sulphurescens,16567,species,1893
Coendou spinosus,552456,species,481
Elaenia mesoleuca,16694,species,86
Phyllomyias virescens,16499,species,39
Sittasomus griseicapillus,11511,species,1236
Cranioleuca pyrrhophia,11266,species,574
Carpobrotus edulis,49322,species,16364
Philodryas aestiva,146349,species,137
Nierembergia scoparia,165713,species,30
Glandularia platensis,552880,species,129
Dolichandra cynanchoides,464557,species,432
Heliotropium,48896,genus,43744
Eunectes notaeus,100714,species,344
Lycalopex gymnocerca,423656,species,1340
Serpophaga griseicapilla,372353,species,259
Phylloscartes ventralis,16948,species,425
Hesperocharis paranensis,710064,species,393
Poecilotriccus plumbeiceps,17050,species,190
Heliotropium phylicoides,770140,species,14
Oiketicus,247610,genus,6749
Alcamenes,754184,genus,22
Ocrepeira,153579,genus,758
Mimosa flagellaris,1044667,species,18
Tetanorhynchini,706246,tribe,371
Cheilanthes micropteris,137962,species,35
Lecanoromycetes,54743,class,1560819
Anemia tomentosa,138202,species,76
Porophyllum,72313,genus,4288
Radlkoferotoma berroi,1424611,species,6
Lupinus gibertianus,628732,species,73
Doryopteris triphylla,1077047,species,56
Gomesa bifolia,544063,species,255
Anurogryllus,247419,genus,720
Calydorea charruana,1091063,species,9
Tripodanthus acutifolius,565001,species,162
Helicina,781349,suborder,929908
Croton cuchillae-nigrae,1031888,species,10
Crocanthemum brasiliense,869903,species,89
Lippia coarctata,1138083,species,25
Senecio leptolobus,1180443,species,7
Discaria americana,602580,species,227
Cuphea glutinosa,161256,species,347
Hedriodiscus,248166,genus,2041
Sisyrinchium scariosum,1091162,species,13
Cyclopogon,140728,genus,773
Cyclopogon chloroleucus,1470774,species,7
Dyckia,141285,genus,804
Hylidae,23540,family,399571
Adiantum poiretii,282459,species,739
Boana pulchella,555143,species,1161
Hymenoptera,47201,order,5683445
Nicotiana bonariensis,771738,species,54
Tradescantia,49145,genus,119498
Sinningia,272606,genus,1236
Zygoptera,47928,suborder,1000129
Gelasine elongata,790565,species,23
Oxyagrion,90562,genus,1214
Lantana montevidensis,77624,species,11284
Notocacteae,543210,tribe,8035
Oxalis,864989,subgenus,210224
Sonchus asper,53269,species,38659
Echinodorus uruguayensis,356220,species,22
Nicotiana alata,165703,species,225
Noctuinae,122224,subfamily,1099144
Billbergia nutans,485181,species,420
Peperomia trineuroides,1067820,species,12
Polypodiopsida,121943,class,1951772
Tillandsia usneoides,49569,species,22290
Desmodus rotundus,41168,species,817
Peperomia,123622,genus,22837
Peperomia tetraphylla,166499,species,1328
Homonota uruguayensis,34406,species,16
Mitracarpus megapotamicus,1089995,species,55
Parodia ottonis,441716,species,185
Chevreulia,184230,genus,96
Frailea,438868,genus,160
Blaptica,326792,genus,444
Scoparia montevidensis,230664,species,169
Blaptica dubia,326791,species,301
Hippeastrum vittatum,472232,species,144
Scinax fuscovarius,24285,species,1203
Rhinella dorbignyi,67108,species,908
Pseudis minuta,24411,species,373
Leptodactylus luctator,1176823,species,900
Campylopus,127425,genus,5665
Spiranthinae,788256,subtribe,47687
Ophioglossum crotalophoroides,165859,species,142
Dorstenia brasiliensis,790343,species,106
Mutisia coccinea dealbata,1419943,variety,18
Eugenia,83080,genus,11031
Geophagus iporangensis,605350,species,9
Pomacea,84111,genus,16759
Marchantiophyta,64615,phylum,180365
Eubrachion ambiguum,547484,species,55
Senecio heterotrichius,790302,species,54
Richardia humistrata,167941,species,119
Arthropoda,47120,phylum,51351787
Teloschistes,55554,genus,17562
Teloschistes exilis,232361,species,4118
Galerucinae,245843,subfamily,260264
Orphulella punctata,293393,species,2014
Spintherophyta,211449,genus,510
Oxypetalum solanoides,631076,species,680
Centaurium pulchellum,76217,species,4379
Vernonanthura montevidensis,790304,species,72
Cereus hildmannianus,327664,species,1977
Baccharis,52111,genus,118373
Sacoila lanceolata,128757,species,1503
Microgyne marchesiana,1345358,species,5
Oenothera indecora,404243,species,150
Lithraea molleoides,543079,species,220
Doryopteris concolor,274161,species,231
Parodia tenuicylindrica,441732,species,9
Microgramma squamulosa,544561,species,441
Tradescantia tenella,861050,species,10
Chaptalia nutans,274158,species,891
Gamochaeta americana,153366,species,2413
Campyloneurum nitidum,1152870,species,21
Sebastiania,156121,genus,471
Geranium albicans,958522,species,8
Krapovickasia flavescens,825338,species,202
Frailea pygmaea,438879,species,51
Mutisia coccinea,603356,species,125
Cuphea,153022,genus,22016
Triodanis biflora,79440,species,5274
Panphalea heterophylla,1131122,species,15
Eryngium nudicaule,567608,species,109
Hydrocleys,157635,genus,380
Cheilanthes hieronymi,1303119,species,4
Vittaria lineata,127044,species,1797
Xyleus discoideus,256804,species,1378
Calanidae,201757,family,62
Embernagra platensis,10670,species,2839
Pavonia hastata,52355,species,1297
Austroeupatorium inulifolium,859233,species,1143
Tarentola mauritanica mauritanica,33603,subspecies,1051
